商品コード,商品名,商品名（前）,サイズ,商品+サイズ,カテゴリ,販売定価,消費税込み,FC卸,FC利益,FC利益率,FC原価率,在庫数,商品画像,期,商品名+サイズ+期,商品名+期,商品名+期 (1),親レコード
,アンクレット黒_L 内周22㌢,アンクレット黒,アンクレットL　内周22㌢,アンクレット黒_アンクレットL　内周22㌢,アクセサリー,3600,"¥3,960",1260,"¥2,340",65%,35%,,,0.5期,アンクレット黒_アンクレットL　内周22㌢_0.5期,アンクレット黒_L 内周22㌢+0.5期,アンクレット黒_L 内周22㌢+0.5期,
,アンクレット黒_XL 内周25㌢,アンクレット黒,アンクレットXL　内周25㌢,アンクレット黒_アンクレットXL　内周25㌢,アクセサリー,3600,"¥3,960",1260,"¥2,340",65%,35%,,,0.5期,アンクレット黒_アンクレットXL　内周25㌢_0.5期,アンクレット黒_XL 内周25㌢+0.5期,アンクレット黒_XL 内周25㌢+0.5期,
,ブレスレット透_S 内周14㌢,ブレスレット透,ブレスレットS 内周14㌢,ブレスレット透_ブレスレットS 内周14㌢,アクセサリー,3900,"¥4,290",1171,"¥2,729",70%,30%,,,0期,ブレスレット透_ブレスレットS 内周14㌢_0期,ブレスレット透_S 内周14㌢+0期,ブレスレット透_S 内周14㌢+0期,
,ブレスレット透_M 内周15.5㌢,ブレスレット透,ブレスレットM 内周15.5㌢,ブレスレット透_ブレスレットM 内周15.5㌢,アクセサリー,3900,"¥4,290",1171,"¥2,729",70%,30%,,,0期,ブレスレット透_ブレスレットM 内周15.5㌢_0期,ブレスレット透_M 内周15.5㌢+0期,ブレスレット透_M 内周15.5㌢+0期,
,ブレスレット透_L 内周17㌢,ブレスレット透,ブレスレットL 内周17㌢,ブレスレット透_ブレスレットL 内周17㌢,アクセサリー,3900,"¥4,290",1171,"¥2,729",70%,30%,,,0期,ブレスレット透_ブレスレットL 内周17㌢_0期,ブレスレット透_L 内周17㌢+0期,ブレスレット透_L 内周17㌢+0期,
,ブレスレット透_XL 内周18㌢,ブレスレット透,ブレスレットXL 内周18㌢,ブレスレット透_ブレスレットXL 内周18㌢,アクセサリー,3900,"¥4,290",1171,"¥2,729",70%,30%,,,0期,ブレスレット透_ブレスレットXL 内周18㌢_0期,ブレスレット透_XL 内周18㌢+0期,ブレスレット透_XL 内周18㌢+0期,
,ブレスレット透_S 内周14㌢,ブレスレット透,ブレスレットS 内周14㌢,ブレスレット透_ブレスレットS 内周14㌢,アクセサリー,3900,"¥4,290",1366,"¥2,534",65%,35%,,,0.5期,ブレスレット透_ブレスレットS 内周14㌢_0.5期,ブレスレット透_S 内周14㌢+0.5期,ブレスレット透_S 内周14㌢+0.5期,
,ブレスレット透_M 内周15.5㌢,ブレスレット透,ブレスレットM 内周15.5㌢,ブレスレット透_ブレスレットM 内周15.5㌢,アクセサリー,3900,"¥4,290",1366,"¥2,534",65%,35%,,,0.5期,ブレスレット透_ブレスレットM 内周15.5㌢_0.5期,ブレスレット透_M 内周15.5㌢+0.5期,ブレスレット透_M 内周15.5㌢+0.5期,
,ブレスレット透_L 内周17㌢,ブレスレット透,ブレスレットL 内周17㌢,ブレスレット透_ブレスレットL 内周17㌢,アクセサリー,3900,"¥4,290",1366,"¥2,534",65%,35%,,,0.5期,ブレスレット透_ブレスレットL 内周17㌢_0.5期,ブレスレット透_L 内周17㌢+0.5期,ブレスレット透_L 内周17㌢+0.5期,
,ブレスレット透_XL 内周18㌢,ブレスレット透,ブレスレットXL 内周18㌢,ブレスレット透_ブレスレットXL 内周18㌢,アクセサリー,3900,"¥4,290",1366,"¥2,534",65%,35%,,,0.5期,ブレスレット透_ブレスレットXL 内周18㌢_0.5期,ブレスレット透_XL 内周18㌢+0.5期,ブレスレット透_XL 内周18㌢+0.5期,
,アンクレット透_S　内周18㌢,アンクレット透,アンクレットS　内周18㌢,アンクレット透_アンクレットS　内周18㌢,アクセサリー,3900,"¥4,290",1171,"¥2,729",70%,30%,,,0期,アンクレット透_アンクレットS　内周18㌢_0期,アンクレット透_S　内周18㌢+0期,アンクレット透_S　内周18㌢+0期,
,アンクレット透_M 内周21㌢,アンクレット透,アンクレットM　内周21㌢,アンクレット透_アンクレットM　内周21㌢,アクセサリー,3900,"¥4,290",1171,"¥2,729",70%,30%,,,0期,アンクレット透_アンクレットM　内周21㌢_0期,アンクレット透_M 内周21㌢+0期,アンクレット透_M 内周21㌢+0期,
,アンクレット透_L　内周22㌢,アンクレット透,アンクレットL　内周22㌢,アンクレット透_アンクレットL　内周22㌢,アクセサリー,3900,"¥4,290",1171,"¥2,729",70%,30%,,,0期,アンクレット透_アンクレットL　内周22㌢_0期,アンクレット透_L　内周22㌢+0期,アンクレット透_L　内周22㌢+0期,
,アンクレット透_XL 内周25㌢,アンクレット透,アンクレットXL　内周25㌢,アンクレット透_アンクレットXL　内周25㌢,アクセサリー,3900,"¥4,290",1171,"¥2,729",70%,30%,,,0期,アンクレット透_アンクレットXL　内周25㌢_0期,アンクレット透_XL 内周25㌢+0期,アンクレット透_XL 内周25㌢+0期,
,アンクレット透_S　内周18㌢,アンクレット透,アンクレットS　内周18㌢,アンクレット透_アンクレットS　内周18㌢,アクセサリー,3900,"¥4,290",1366,"¥2,534",65%,35%,,,0.5期,アンクレット透_アンクレットS　内周18㌢_0.5期,アンクレット透_S　内周18㌢+0.5期,アンクレット透_S　内周18㌢+0.5期,
,アンクレット透_M 内周21㌢,アンクレット透,アンクレットM　内周21㌢,アンクレット透_アンクレットM　内周21㌢,アクセサリー,3900,"¥4,290",1366,"¥2,534",65%,35%,,,0.5期,アンクレット透_アンクレットM　内周21㌢_0.5期,アンクレット透_M 内周21㌢+0.5期,アンクレット透_M 内周21㌢+0.5期,
,アンクレット透_L　内周22㌢,アンクレット透,アンクレットL　内周22㌢,アンクレット透_アンクレットL　内周22㌢,アクセサリー,3900,"¥4,290",1366,"¥2,534",65%,35%,,,0.5期,アンクレット透_アンクレットL　内周22㌢_0.5期,アンクレット透_L　内周22㌢+0.5期,アンクレット透_L　内周22㌢+0.5期,
